TempoMedioEmMovimentacao;TempoMedioEmBloqueado;EmLogicaMovimento;EmBloqueado;Saidas
0;0;0;0;0
46,7333333333333;4,54679657514026;2,78174037089872;46,2767475035663;150
87,9;32,5888902948247;0,113765642775882;0;15
3;46,6784765279008;0;0;3

TempoMedioEmMovimentacao;TempoMedioEmBloqueado;EmLogicaMovimento;EmBloqueado;Saidas
0;0;0;0;0
64,0666666666667;0;2,02913631633715;60,8116545265349;150
87,9;0;0,113765642775882;0;15
3;4,54679657514026;0;0;3

TempoMedioEmMovimentacao;TempoMedioEmBloqueado;EmLogicaMovimento;EmBloqueado;Saidas
0;0;0;0;0
61,0125;0;2,13071091989346;60,4077033394796;160
84,1;0;0,118906064209275;0;15
3;0;0;0;3

TempoMedioEmMovimentacao;TempoMedioEmBloqueado;EmLogicaMovimento;EmBloqueado;Saidas
0;0;0;0;0
37,6736842105263;6,76205652385711;3,45068454875664;45,1872031293657;190
71,7;0;0,139470013947001;0;15
3;0;0;0;3

TempoMedioEmMovimentacao;TempoMedioEmBloqueado;EmLogicaMovimento;EmBloqueado;Saidas
0;0;0;0;0
44,225;8,56703146374834;2,93951384963256;44,09977388355;160
81,7;61,4349228063317;0,122399020807834;0;15
3;0;0;0;3

TempoMedioEmMovimentacao;TempoMedioEmBloqueado;EmLogicaMovimento;EmBloqueado;Saidas
0;0;0;0;0
52,85;5,43906277057909;2,45979186376537;34,2242194891202;160
69,5;39,0108193981191;0,143884892086331;0;15
3;55,5501178313018;0;0;3

TempoMedioEmMovimentacao;TempoMedioEmBloqueado;EmLogicaMovimento;EmBloqueado;Saidas
0;0;0;0;0
46,7333333333333;4,54679657514026;2,78174037089872;46,2767475035663;150
87,9;32,5888902948247;0,113765642775882;0;15
3;46,6784765279008;0;0;3

