ConteudoMaximo;Utilização;Bloqueado;ParadaNaoPlanejada;CustosdeOperacao;;;
1;72;72;0;0;;;697902,615
1;94,83333333;74,17;0;129,36;;Geometrica;9,418154364
1;87,1;10,25;0;927,18;;Aritimetica;28,195
1;63,75;12,75;0;1328,04;;Harmonica;19,6691862
10;62,155;0;0;460,5;;;42,375
5;40,4;0;0;0;;;
;;;;;;;
ConteudoMaximo;Utilização;Bloqueado;ParadaNaoPlanejada;CustosdeOperacao;;;
1;83,98333333;83,98;0;0;;;5642965616
1;83,01666667;83,02;0;0;;Geometrica;42,19405202
2;83,5;83,5;0;0;;Aritimetica;57,945
1;94,83333333;74,17;0;129,36;;Harmonica;26,61889185
1;87,1;10,25;0;927,18;;;78,595
1;63,75;12,75;0;1328,04;;;
;;;;;;;
ConteudoMaximo;Utilização;Bloqueado;ParadaNaoPlanejada;CustosdeOperacao;;;
1;69,56666667;69,57;0;0;;;11891009642
1;96,73333333;85,4;0;0;;Geometrica;47,77526689
1;95,5;84,17;0;0;;Aritimetica;59,58666667
2;96,11666667;84,78;0;0;;Harmonica;35,3861205
1;96,46666667;15,47;0;975,66;;;76,87
1;71,8;18,13;0;1388,8;;;
;;;;;;;
ConteudoMaximo;Utilização;Bloqueado;ParadaNaoPlanejada;CustosdeOperacao;;;
1;67,03333333;67,03;0;0;;;4467010001
1;93,33333333;67,08;0;163,8;;Geometrica;40,58225301
1;92,15;33,75;0;0;;Aritimetica;44,16833333
1;79,43333333;40,43;0;0;;Harmonica;37,01558529
2;85,79166667;37,09;0;0;;;38,76
1;84,01666667;19,63;0;1675,24;;;
;;;;;;;
ConteudoMaximo;Utilização;Bloqueado;ParadaNaoPlanejada;CustosdeOperacao;;;
1;69,56666667;69,57;0;0;;;9138749,341
1;94,33333333;71,67;0;140,28;;Geometrica;14,4593175
1;85,93333333;2,67;0;1005,96;;Aritimetica;28,71833333
1;63,53333333;13,6;0;0;;Harmonica;7,79623774
1;10,66666667;5,33;0;0;;;11,535
2;37,1;9,47;0;0;;;
;;;;;;;
ConteudoMaximo;Utilização;Bloqueado;ParadaNaoPlanejada;CustosdeOperacao;;;
1;70,5;70,5;0;0;;;4993,515
1;94,16666667;70,83;0;144,48;;Geometrica;4,134291169
1;85,53333333;0;0;1036,26;;Aritimetica;23,555
1;56,7;0;0;1475,6;;Harmonica;70,66461473
10;57,045;0;0;0;;;70,665
10;37,855;0;0;0;;;
;;;;;;;
ConteudoMaximo;Utilização;Bloqueado;ParadaNaoPlanejada;CustosdeOperacao;;;
1;72;72;0;0;;;697902,615
1;94,83333333;74,17;0;129,36;;Geometrica;9,418154364
1;87,1;10,25;0;927,18;;Aritimetica;28,195
1;63,75;12,75;0;1328,04;;Harmonica;19,6691862
10;62,155;0;0;460,5;;;42,375
5;40,4;0;0;0;;;
